label,text_lemmatized
2,на о 95 и рост 168 взять размер м подойти но любить пошире тогда на такой параметр размер l резинка не тугой если носить на талия а не на бедро смотреться как на фото продавец ткань хороший на мяться вставка по бок белый из кожзаменитель
0,заказ прийти в за 2 неделя но качество кофта ужасный ткань не понятный какой просвечиваться и прошита красный нитка
0,ужас ворота очень криво рукова разный один фонарик другой как будто сверху просто с складка
2,пока платье идти даже всхуднуть шов ровный принт тоже рекомендовать доставка 2 неделя в челяб
2,кофта прийти за 7 день когда получить быть просто в восторг от цвет оооочень красивый нигде не торчать кроме нитка внутри кофта кофта свободный на 44 размер
1,лосина прийти порвать открыть спор продавец компенсация не вернуть в общий товар довольный лосина подойти по размер приятный на ощупь быть заказывать еще у продавец
0,прийти ночной рубашка а не платье
1,очень долгий доставка качество норма
1,размер не подойти по описание
1,как бутто носить и потом отправить
1,не пройти размер браться xxl а по факт как s заказывайте повнимательней с размер
0,заказ не прийти прождать 1.5 месяц посылка видимо на территория россия потеряться открыть спор вернуть деньга
0,костюм ува так и не прийти но продавец вернуть деньга сразу
0,синтетика типа флис дешевый качество материал плохой на ощупь сплошной синтетика р-р м-l
1,приятный к тело но явно не кашемир после первый носка в активный место распушилась и скататься посмотреть как быть после стирка цвет заказывать бежевый прийти с красноватый оттенок ожидать почему то больший в план цвет
1,получить быстро мех намного меньше не как на фото и короткий на фото очень богато смотреться
1,не очень приятный на ощупь кофта тонкий просвечиваете на фото казаться лучше
2,отличный и за такой деньга
0,товар прийти быстро качество материал ужасный футболка большой похожий на распашенка по плечан хорошо но низ у футболка безразмерный вобщий товар полностью не соответствовать ожидание
2,за свой деньга неплохо если отглалить вид хороший быть нитка решаться ножницы или зажигалка не разрезать петля на манжета тоже не брать сшить ровно на наш 46-48 хорошо сесть элька простить за фото в ванная с полотенце ну уж какой шмагл
0,пояс узкий материал плохой товар не соответствовать цена
0,товар не прийти деньга не вернуть
1,"за 3,5 месяц посылка так и не прийти продавец сначала отвечать на сообщение а потом перестать этот повторный заказ расстроить хотя первый раз получить хороший майка деньга все же вернуть"
1,fur collar does not match as the photo of the product zipper to end of collar
2,в новосибирск​ доставка примерно за 3 неделя но из-за проблема в наш почтовый отделение получить еще почти через 2 неделя к продавец претензия нет только благодарность за отличный платье весь шов хороший заказать размер l и не пожалеть м быть бы слишком в обтяжка
0,платье с 3 сентябрь в сортировочный огорчаются центр в толмачево посылка видимо утерять продавец на мой просьба отправить фото квитанция чтобы написать заявление в почта не отвечать полный игнора в расстроить чувство
1,товар прийти быстро но на штаны сзади брак стрелка очень расстроиться
1,бюстгальтер неудобный на объем 95 чашка d маленький ужасно жать
1,получить заказ с хороший качество но размер немного маленький
1,пошить не плохо очень большой вырез надо быть что делать ткань дешевый электризоваться
1,кофта прийти другой фасон без бусина на рукав
0,прийти с брак открыть спор деньга не вернуть мех быть покоцать ножницы
1,качество оставлять желать хороший не подойти
2,классный свиторок исполнение великолепный доставка мгновенный размерный сетка корректный фото реальность полностью соответствовать в магазин много интересный вещь рекомендовать продавец спасибо
0,заказ не получить почему показывать доставить
1,на фото выглядеть гораздо хороший в реал похожий на махровый халат
2,очень качественный теплый и мягкий водолазка практически свитер рукав на рост 163 идеально ворота очень высокий облегать горло по длина очень приличный в общий супер вещь очень довольный покупка
0,вместо бодь прийти письмо о что заказ в скорый время прибыть заказ так и не прийти трек закрыть деньга потерять
1,товар не получить деньга вернуть
1,оценка только за быстрый в течение 3 день возврат средство продавец слишком хотрожопый попался- во-первых очень долго отправлять товар во-вторых заказывать размер xl прислать размер l мочь бы просто написать что нужный размер нет в наличие в итог открыть спор вернуть деньга про качество костюм мочь сказать только одно-толстовкой как указать в описание товар там и близко не пахнуть ткань очень тонкий трикотаж правда приятный на ощупь
1,товар не прийти очень расстроить очень ждать но продавец вернуть деньга очень жаль
1,размер не подойти
1,брать на размер больше как то сильно впритык на s размер мой параметр 90/70/90 рост 158 см вес 54 кг
2,весь ок
0,товар так и не прийти продавец отправить письмо что посылка доставить поздний при заказ завершить плохой продавец
0,в какой место бесшовный шовные еще какой и грубый кривой край ткань подкручиваются после первый стирка растрепались надпись кусок стерлись стирать при 30 t отвратительный белье доставка 3 неделя а учитывать что в этот же день получить дорогой продавец более дорогой и качественный белье носить точно не хотеться и да бесшовный это когда шов нет спор не стать из за 155 руб открывать но товар дешовый китайщина увы такой стрема не советовать носить
2,супер водолазка мягкий запах не продавец положить подарочек
1,доставка около месяц мой рост 158 см объем грудь 90 заказать размер м там указать что 94 объем грудь ну думать как раз хороший и думать кофта прийти совсем не такой размер как заявить очень короткий еле грудь закрыть в такой даже дома не походить очень расстроить в отзыв у девочка с похожий параметр рост и грудь м село очень хороший а видимо сшить не так как нужный открыть спор вернуть деньга
1,не очень качество заказывать у другой продавец и там действительно понравиться а тут так
2,заказ делать руководствуясь размерный таблица продавец делать припуск 3 см не ошибиться брюки подойти чуть свободный в бедро но не страшный садиться в слегка не удобный в остальной претензия нет спасибо продавец з ы продавец положить браслетик в подарок мило
0,сшить ужасный везде нитка качество херня
0,качество на 3 из 5 сшить очень плохой шов расходиться бонус только достать из пакет отвалиться пуговица в общий приятный ощущение от покупка начаться сразу же на стадия распаковка не рекомендоваться к покупка
2,очень клевый материал приятный по сравнение с другой футболка тонкий не просвечивать
1,начиталась отзыв и заказать s а идти в размер м надо быть брать расстроить маленький совсем
0,товар так и не прийти и деньга возвращать отказаться
0,не брать говно обман деньга не вернуть теперь не знать куда деть если только собака постелить продавец мошенник и алиэкспресс поддержать
0,заказ так и не прийти в омск продавец уверять что посылка обязательно прийти но ува но к радость деньга вернуть
1,материал синтетик
1,джинса с резкий запах хлор прогадать с размен на рост 156 взять 25 надо быть 24 но в принцип неплохо посмотреть с время стоять свой деньга или нет
2,очень хороший запах нет
1,цвет не такой как на картинка не естественный желтизна
1,товар хороший но буква пропечтанный неаккуратно
0,совсем не держаться на грудь спадать моментально плохой липучка товар не довольный
2,как всегда отличный заказывать 2 раз уже мама
0,девочка не брать цена этот куртка рубль 500 не большой подол просто отрублен не обшить резинка как рукав и капюшон вонючий пух лезть после стирка сбиться в комок муж и сын заказывать куртка такой же формат прийти хороший но же ппц спор открыть на возврат половина сумма прод принять но деньга не вернуть не связываться
0,ужас прийти короткий нитка торчать открыть спор продавец игнорит
1,качество не очень
1,кофточка дойти быстро отслеживалась ткань более менее на этот цена размер не подойти маленький и в грудь и в рукав хотя подбирать размер даже с запас выглядеть как на фото
2,блузка супер качество хороший нитка не торчать бусина пришить крепко но быть один но рукова коротковатый
0,заказать 2 месяц назад посылка так и не прибыть деньга вернуть продавец общаться с но не готовый так долго ждать
0,к сожаление товар не прийти но продавец вернуть деньга
0,цвет не фуксия а розовый материал акрил хлопок не наблюдаться кое где дырка и затяжка свитер без бирка деньга свой не стоить вообще продавец предлагать повторно отправить свитер отказаться ненужный такой синтетика продавец частично вернуть деньга товар не рекомендовать
2,супер быстрый доставка 12 день от заказ до мо майка отличный даже на мой нестандартный фигура низ сильно большой верх смотреться норма материал приятный
1,цвет хаки на сам дело сиреневый косточка неудобный чашечка крошечный выглядеть не очень с этот сервис уже 3 000 рубль сэкономить на покупка на алиэкспресс весь советую https goo gl 3 fqhkw пробел только убрать
1,заказ идти очень долго
1,мало на ярлык xxl фактически объем грудь 94 см в таблица -102 ткань очень тонкий просвечивать на рукав грязь
1,заказать в ноябрь так и не прийти заказ
2,бант меньше чем на фото
2,просто супер носить 46 р заказать xl село идеальный спасибо
0,не прийти и деньга не вернуть
2,майка понравиться на русский размер 46-48 заказать l больший можно быть заказать м качество хороший
2,нормальный леггинс но больший в талия от 64 размер s висеть в талия
1,восторг нет на ог 88 см и от 75 см взять xl и тянуть странный пошив прийтись либо застегивать булавка либо вообще не разводить рука в сторона качество материал неплохой но ожидать другой в целое носить быть но в магазин этот блузка точно бы не купить в два место строчки плохой в прорезь пуговица оставить нитка и когда растегивать пуговица при получение то сделать затяжка потянуть немного материал и затяжка почти выпрямиться
2,очень быстрый доставка в пермский край прийти за два неделя спасибо подойти
2,хороший доставка 10 день до арх обл упаковать продавец отлично хороший кэшбек по ссылка ниже не что там всякий летишопс и копикота по свой опыт говорить http ali точка pub 27 mpf 7
0,качество ужасный по бок шов в гармошка пояс должный присутсвовать но в наличие нет размер не s а на наш xxs не рекомендовать даже фото не хотеться делать
0,заказывать цвет темно синий продавец через какой тот время написать что у не оказаться на склад такой легинс и предложить зеленый не нравиться цвет фу фу фу жалеть что согласиться
2,обожать очень удобный и приятный к тело
0,а
0,заказ не прийти деньга вернуть не понимать почему у прийти а мой прям потеряться мочь продиться просто не отправлять
0,много торчать нитка рисунок как клиенок быть белый пятно
2,рубашка хороший плотный понравиться размер только можно быть больше взять носить 46 купить xxl впритык нужный худеть
1,ткань синтетика юбка в целое неплохой но на талия 67 см хороший брать s без запах отправка очень быстрый
0,прийти круг торчать нитка в катышек деньга не вернуть ужасный
1,заказывать у продавец уже 2 раз 1 ый раз заказать красный блузка прийти хороший качество 2-ой раз заказать черную- блузка прийти сбелый пуговица и короткий рукав в целое если обрезать рукав то норма но второй заказ не довольный
0,отправить мой товар на другой адрес и прислать их трек отслеживание когда писать продавец о что посылка уйти на другой адрес продавец не реагировать а просить еще подождать после 3-х месяц ожидание открыть спор спор выиграть но деньга продавец не вернуть
2,на российский 46-48 подойти но немного великоватый думаю нужный быть заказывать 30 размер чуть коротковатый длина но не существенно в процесс хоть бы начинать сползать причем довольно сильно хотя когда стоить не видно что большой вроде в обтяжка цвет глубокий синий в целое довольный заказ качество как и везде сейчас
0,заказывать платье за долго до нг связываться с продавец быть оговорить что платье прийти в итог получить после середина январь паеткать отлетают колючий и крой кривая продавец не вернуть деньга по спор не советовать заказывать этот товар и не советовать связываться с этот продавец
1,качество ужасный ткань не такой какой фото
2,теплый приятный правда синтетика голый плотность соответсвовать описание
0,не понравиться заказ такой ощущение что гипюр старый короткий не советовать
0,к сожаление не мочь оставить никакой отзыв так как не получить свой заказ
1,таблица размер не соответствовать
0,ужасный костюм ткань тонкий резинка на штаны весь растянуть начать спор в итог закрыть и даже не оповестить не советовать брать
2,хороший шортик на от 63 и о 86 27 размер в самый раз немного свободно в талия но так даже комфортнее
1,ува материал синтетик сам топ оказаться коротковатый и повсюду торчать нитка сшить очень некачественно не советовать заказывать этот вещь увы
1,ждать ну очень долго в итог открыть спор денежка продавец вернуть без лишний морока
0,не знать от в восторг горловина растянутый носить невозможный нитка до фиг торчать
1,пропорция
0,спустя 3 месяц так и не прийти заказывать 2 раз и не один раз не прийти товар ужасный продавец защита закончиться и не смочь вернуть свой деньга
1,очень тонкий синтетика на русский 48-50 заказать хххлый село отлично не обтянуть
2,до новосибирск майк идти около месяц качество хороший
0,качество оставлять желать хороший носить дома
0,ужас брать по размер и по отзыв но 32 на рост 178 выше щиколотка на ладонь бедро в обтяжка
1,не много не ровный рисунок
0,товар не прийти деньга вернуть в обострение спор с поддержка алиэкспресс
1,на размер 44 l оказаться маленький кнопка на грудь даже не застегиваться везде торчать нитка
2,понравиться заказывать l на 58 кг и рост 164 см село хорошо
1,доставка сдэкома достаточно быстрый сам куртка снаружи из приятный материал но не обладать ни малый водоотталкивающий свойство как любой даже самый дешевый плащевка достаточно тонкий быть точно не зима скорый осень-весна брать песочный цвет выглядеть очень симпатично но плюшевый подкладка лезть ужасно простой даже бояться стирать чтоб стиральный машинка не убить да и что от куртка остаться большой вопрос в общий пока что ощущение прикольной одноразовый вещь
2,оооочень крутой
2,прийти очень быстро в калининград заказывать размер s подойти прям впритык
2,очень мягкий и приятный и очень красивый
2,ткань синтетик но приличный прийти быстро
2,соответствовать описание прийти быстро
2,ткань конечно не шелк ну за такой деньга очень даже хорошенький пижама
1,не подойти
0,товар не прийти ждать 4 месяц а он и не прийти
0,заказать 24.11 прийти 16.01 еще и маломерок
2,платье хороший ткань плотный нитка не торчать доставка 2 неделя до казань но рукав очень широкий прийтись ушивать из за минус на параметр 88-63-88 s село хорошо
0,вырез сзади не соответствовать картинка размер хороший но из-за вырез не сидеть
1,в целое хороший но цвет не тот быть указать а также длина не соответствовать ожидание но материал приятный сидеть хорошо 3 звезда
1,черный шорты меньше розовый с серый на размер
1,думать платок-а треугольный расстроиться
2,прийти всего за 2 неделя качество хороший правда пожалеть что не заказать на размер больше
2,очень классный
0,товар не прийти кхм четыре месяц ждать хотя что уж там уже не ждать
0,не считать что по бок зашить сам
0,прислать не тот цвет пол сумма даже не вернуть ткань дешевый деньга этот не стоить точно не кашемир
1,низкий качество кое-где не прошить шов быть дырочка вырез маленький чем на фото
0,размер не совподать ужасно пахнуть ставить один звездочка только за что пообещать вернуть деньга заказывать s а прийти на размер три больше по плечо s а ниже ночной рубашка
0,уже второй раз прислать с брак а в этот раз еще и не тот размер ну уже слишком не советовать продавец
0,the quality not good at all i understand that price is so low to talk about quality but inner layer of the bust support separated from out layer
0,размер л оказаться огромный качество так тонкий просвечивать никакой эффект пуш ап нет и в помин по длина на 178 в самый раз не советовать очередной тряпка на ходить по дача
1,рубашка желтоватый цвет
2,супер пальто смотреться достойно довольно теплый но не на сильный мороз
1,в очередной раз зарекаться не верить размерный сетка размер указывать продавец просто обман если у размер большой 48 хороший на этот сайт не покупать и если рост больше 155 см сам по неплохой рубашечка и редко бывать вроде бы даже из натуральный ткань но по рост маловаты один слово быть дарить невестка и племяшка сам не прийтись носить хотя хотеться бы
1,не соответствовать размер взять xxxl на русский 44-46 по размер описаным в магазин в сантиметр прийти что то около 40-42 подарить сосед
1,товар до москва прийти очень быстро в течение 10 день долго сомневаться по повод размер на 42-44 выбрать s и не прогадать в принцип довольный
0,продаван вешать лапша несколько месяц о что заказ прийти но так и не прийти сначала привысить весь срок отправка на мой просьба вернуть деньга и закрыть заказ не реагировать через пара неделя быть пометка о что заказ все же отправить спустя два месяц ожидание так и не прийти через спор деньга вернуть
2,свитшота с начес но сам синтетический дочка 12 год худенький рост 152 подойти размер s понравиться идти заказ с 12.11.17 по 2.12.17 до моск область
1,кожа тонкий мягкий прийти куртка с брак небольшой дырочка и плохой шов торчать несколько нитка а в общий неплохой кожа натуральный маломерить на объем грудь 91 см заказать хл маловатый в плечо и грудь модель без выточка на грудь и смотреться немного мешковато по спор продавец вернуть часть деньга
0,товар заказать 25.05 до так и не дойти очень жаль
1,кофта прикольная немного не угадать с размер маловатый и долго идти
1,платье хороший качественный подойти идеально но сервис- полный разочарование продавец не мочь отправить товар 10 день и даже не пытаться извиниться за задержка оправдывать данный ситуация предпраздничный ажиотаж в тот же время заказать платье в другой не менее если не более известный магазин примерно этот же ценовый категория быть отправить незамедлительно так что видимо дело не в праздник а в наплевательский отношение к клиент позор для такой популярный магазин
1,платье до иркутск идти долго 39 день заказывать 11.11 как и многие неприятный неожиданность стать что платье прийти без пояс хороший что заказывать на распродажа и не так обидный если бы брать за полный стоимость за убрать пара звезда теперь о сам платье пахнуть бы даже сказать воняет пара торчать нитка быть но материал приятный на ощупь и быть не сильно мяться плюс еще пуговица хорошо пришить а немаловажно к много по фигура сидеть хорошо брать l на свой российский 46 подойти нигде не жать но и поправляться тоже не желательный в целое покупка довольный но хотеться бы пожелать внимательность продавец
0,отвратительный штаны тонкий посадка высокий штанина короткий попа влезть но сесть плохо
0,доставить очень быстро курьер материал сам рубашка дешевый хота что можно ожидать от китайский вещь но больше разочаровать наклейка по край видный клей желтый торчать нитка и край расслаиваться быть первый и последний покупка из этот магазин
2,отличный кофточка
0,трек не отслеживаться качество просто ужас шов возле разрез затянуть размер xxl примерно на 48 размер и то громко сказать
0,шапка разный размер отправлять долго умолять продавец плохой не нужный клиент такой ощущение
2,платье хороший но маломерит размер не подойти посылка отслеживаться заказ прийти быстро
0,как девочка как в размер d помещаться ваш грудь 113 см у грудь 94 см и не поместиться в d чашечка отзыв очень необъективный фото этот ужас даже показывать не быть
2,хорший свитерок запах нет шов ровный но на расти 50—52 маленький жаль
1,шапка детский в прямой смысл на мой пятилетка не понимать какой тут девушка с детский голова
1,размер s подойти только девочка второклассница очень сильно маломерить
1,в целое майка нормальный но чашечка не круглый а миндалевидный грудь из под низ взваливаться и при что у небольшой грудь
0,юбка не прийти общение с продавец не сложиться
2,джинсы отличный можно быть взять на размер больше так как почти не тянуться ткань хороший
2,товар отслеживаться заказывать м немного широковатый и ткань просвечиваеся а так норма
2,кофточка отличный очень мягкий без брак советовать к покупка
1,товар дойти быстро быть доставить курьер домой упаковка обычный в два пакетик не повредить при открытие посылка быть полный разочарование обнаружить два заметный темный пятнышко как раз на светлый фон пятнышко большой похожий на краска по ткань или маркер сам блузка шикарный ни какой ниточка весь строчка ровный но один но- пятнышко в хим чистка не смочь вывести и посоветовать блузка не мучить а вообще мочь с дырка получить в остальной некорректный переход цвет тоже присутствовать но блуза равный шик скорый быть перезаказывать быть открыть спор али вернуть половина от стоимость большой спасибо за продавец на вопрос отвечать продавец и товар рекомендовать
0,не понравиться внутри какой проволока и получаться безформенный
1,размер соответвовать по рф не отслеживаться пуговица оторваться еще в время примерка
1,на платок цвет бледно лимонный а не ярко желтый как на фото также в расцветка платок много серый не видно на фото
0,не получить заказ и не вернуть деньга
0,товар не прийти заказывать два раз и не получить деньга вернуть
1,маломерить xxl на 48 размер печально
2,кофточка отличный смотреться дорогой доставка быстрый
1,специально оставлять отзыв поздний к хотеть проверить куртка в носка и расстроиться после неделя носок стать расходиться шов хотя по размер вылезать всюду нитка обратить внимание что молния пришить волна и поэтому плохой о застегиваться и вечно заедает так что не в восторг мягко сказать не мочь советовать данный товар ожидать намного лучше и еще в описание указать что наполнитель пух а обычный синтепон и куртка тяжеловатый и объемный
2,замечательный вещь искать но даже лучше чем ожидать сесть на талия 67 идеальный не впиваться бедро 90 самый рекомендовать
2,"пальто очень хороший похожий на тренч тонкий предназначить только для начало российский осень или конец весна цвет красивый насыщенный на рост 171, 85-60-90 заказывать s подойти идеально"
2,хорошо тянуться хотеться бы подлиннее размерной сетка соответствовать качество отличный
0,открыть спор от продавец ответ не получить
1,полный ерунда ерунда на фото плотный трикотаж на сам дело чуть тоньше футболка край горловина не обработать и уже осыпаться шов кривая рукав узкий на фото бахрома из нить на сам дело грубо нарезать трикотаж сидеть ужасно а залезать в полный смысл слово крайне неудобный верхний часть правый полочка вшить в плечевой шов через голова надевать один рука просовываться в рукав а другую- надо изернутиться
2,ураа столько ждать пижама очень теплый брать xl на русский наверно 52 или 54 точно с рост не угадать ну и ладно заказывать не пожелеть
2,теплый красивый снимать не хотеть какой же клевый только не понимать нахрить клеить на пакет фотография товар и размер прийти до курган быстро за пара неделя
2,качество отличный на картинка и то плохой смотреться на ощупь очень приятный мягкий не стирать еще не знать как с краска быть дело но выглядеть очень достойно покупать подобный на сайт англии асд и по качество не хуже если после стирка измениться отписаться но пока остаться довольный по россия идти транспортный сдек долго гулять по страна конечно
1,маломерить на русский 40 -42 размер
1,красивый цвет горловина очень узкий а запах от изделие невыносимый вынести на балкон мочь выветриться хороший быть 15 день быть думать такой же свитерочка заказывать в магазин goddess way store цвет light tan и в магазин lafarvie official store цвет sapphire очень хороший общение с продавец не быть только поэтому ставить средний
2,отличный качество быстрый доставка
0,просвечивать сильно сзади очень маленький и короткий
1,заказать размер l но на обхват бедро 98 см оказаться великоватый быть сесть не как легинс а свободно надо быть заказывать как минимум на размер меньше а жаль сам легинс понравиться
2,рубашка супер на 44 взять м подойти
2,очень довольный куртка качество куртка отличный подойти по весь мой желание очень приятно
1,фурнитура на клей не аккуратно склеить жемчужина
2,хороший лосина доставка месяц
1,синтетика гольная ворот непонятный форма торчать в отзыв не обратить на внимание померить кофта понять что ооочень существенный недостаток
0,товар не соответствовать параметр указать продавец и продавец не добросовестный открыть спор по урегулирование данный вопрос отказать и без обоюдный согласие закрыть спор очень недовольный не советовать этот продавец
2,товар довольный
2,рубашка отличный подойти по размер спасибо продавец очень довольный
1,резинка до так и не доехать продавец вернуть деньга за только три звезда
1,короткий цвет не такой качество плохой распускаться
2,спасибо леггинс качественный но не хлопок конечно же тета подойти спасибо продавец
0,ужасный качество недошитый размер огромный заказывать 3 штука ужасный весь
1,цвет очень блеклый в целое на троечка
0,качество на 2 тонкий просвечиваетиться плохой
0,заказ не получить не рекомендовать продавец не быть отслеживание товар возврат деньга тоже нет
2,прийти за 3 неделя в мо на параметр 87/63 размер 25 взять в нога большой надо быть брать 24 а так нравиться
